"token_id" "token" "lemma" "pos" "entity"
"1" "Since" "since" "IN" "No entity"
"2" "UPR" "UPR" "NNP" "No entity"
"3" "activation" "activation" "NN" "No entity"
"4" "occurs" "occur" "VBZ" "No entity"
"5" "in" "in" "IN" "No entity"
"6" "<" "<" "XX" "No entity"
"7" "2" "2" "CD" "No entity"
"8" "minutes" "minute" "NNS" "No entity"
"9" "," "," "," "No entity"
"10" "it" "-PRON-" "PRP" "No entity"
"11" "is" "be" "VBZ" "No entity"
"12" "an" "an" "DT" "No entity"
"13" "initial" "initial" "JJ" "No entity"
"14" "cell" "cell" "NN" "No entity"
"15" "response" "response" "NN" "No entity"
"16" "when" "when" "WRB" "No entity"
"17" "EGF" "EGF" "NNP" "ORG"
"18" "binds" "binds" "NN" "No entity"
"19" "EGFR" "EGFR" "NNP" "No entity"
"20" "." "." "." "No entity"
"21" " " " " "_SP" "No entity"
"22" "Aberrant" "aberrant" "JJ" "No entity"
"23" "activation" "activation" "NN" "No entity"
"24" "of" "of" "IN" "No entity"
"25" "the" "the" "DT" "No entity"
"26" "EGF" "EGF" "NNP" "ORG"
"27" "receptor" "receptor" "NN" "No entity"
"28" "(" "(" "-LRB-" "No entity"
"29" "EGFR" "EGFR" "NNP" "No entity"
"30" ")" ")" "-RRB-" "No entity"
"31" "contributes" "contribute" "VBZ" "No entity"
"32" "to" "to" "IN" "No entity"
"33" "many" "many" "JJ" "No entity"
"34" "human" "human" "JJ" "No entity"
"35" "cancers" "cancer" "NNS" "No entity"
"36" "by" "by" "IN" "No entity"
"37" "activating" "activate" "VBG" "No entity"
"38" "the" "the" "DT" "No entity"
"39" "Ras" "Ras" "NNP" "PERSON"
"40" "-" "-" "HYPH" "No entity"
"41" "MAPK" "MAPK" "NNP" "PERSON"
"42" "pathway" "pathway" "NN" "No entity"
"43" "and" "and" "CC" "No entity"
"44" "other" "other" "JJ" "No entity"
"45" "pathways" "pathway" "NNS" "No entity"
"46" "." "." "." "No entity"
"47" " " " " "_SP" "No entity"
"48" "Furthermore" "furthermore" "RB" "No entity"
"49" "," "," "," "No entity"
"50" "M" "M" "NNP" "No entity"
"51" "-" "-" "HYPH" "No entity"
"52" "Ras" "Ras" "NNP" "PERSON"
"53" "brought" "bring" "VBD" "No entity"
"54" "about" "about" "RP" "No entity"
"55" "ERK" "ERK" "NNP" "ORG"
"56" "pathway" "pathway" "NN" "No entity"
"57" "-" "-" "HYPH" "No entity"
"58" "mediated" "mediate" "VBN" "No entity"
"59" "activating" "activate" "VBG" "No entity"
"60" "phosphorylation" "phosphorylation" "NN" "No entity"
"61" "of" "of" "IN" "No entity"
"62" "CREB" "CREB" "NNP" "ORG"
"63" "and" "and" "CC" "No entity"
"64" "the" "the" "DT" "No entity"
"65" "CREB" "CREB" "NNP" "ORG"
"66" "-" "-" "HYPH" "No entity"
"67" "mediated" "mediate" "VBN" "No entity"
"68" "transcription" "transcription" "NN" "No entity"
"69" "." "." "." "No entity"
"70" " " " " "_SP" "No entity"
"71" "In" "in" "IN" "No entity"
"72" "contrast" "contrast" "NN" "No entity"
"73" "," "," "," "No entity"
"74" "Tax" "Tax" "NNP" "No entity"
"75" "did" "do" "VBD" "No entity"
"76" "not" "not" "RB" "No entity"
"77" "form" "form" "VB" "No entity"
"78" "a" "a" "DT" "No entity"
"79" "similar" "similar" "JJ" "No entity"
"80" "complex" "complex" "NN" "No entity"
"81" "on" "on" "IN" "No entity"
"82" "the" "the" "DT" "No entity"
"83" "CREB" "CREB" "NNP" "ORG"
"84" "binding" "binding" "NN" "No entity"
"85" "site" "site" "NN" "No entity"
"86" "in" "in" "IN" "No entity"
"87" "the" "the" "DT" "No entity"
"88" "SRIF" "SRIF" "NNP" "ORG"
"89" "promoter" "promoter" "NN" "No entity"
"90" "." "." "." "No entity"
"91" " " " " "_SP" "No entity"
"92" "Aberrant" "aberrant" "JJ" "No entity"
"93" "activation" "activation" "NN" "No entity"
"94" "of" "of" "IN" "No entity"
"95" "the" "the" "DT" "No entity"
"96" "EGF" "EGF" "NNP" "ORG"
"97" "receptor" "receptor" "NN" "No entity"
"98" "(" "(" "-LRB-" "No entity"
"99" "EGFR" "EGFR" "NNP" "No entity"
"100" ")" ")" "-RRB-" "No entity"
"101" "contributes" "contribute" "VBZ" "No entity"
"102" "to" "to" "IN" "No entity"
"103" "many" "many" "JJ" "No entity"
"104" "human" "human" "JJ" "No entity"
"105" "cancers" "cancer" "NNS" "No entity"
"106" "by" "by" "IN" "No entity"
"107" "activating" "activate" "VBG" "No entity"
"108" "the" "the" "DT" "No entity"
"109" "Ras" "Ras" "NNP" "PERSON"
"110" "-" "-" "HYPH" "No entity"
"111" "MAPK" "MAPK" "NNP" "PERSON"
"112" "pathway" "pathway" "NN" "No entity"
"113" "and" "and" "CC" "No entity"
"114" "other" "other" "JJ" "No entity"
"115" "pathways" "pathway" "NNS" "No entity"
"116" "." "." "." "No entity"
